file,one_qubit_gates,two_qubit_gates
4392456_10_1_0_125_default_qubit.qasm,46,12
4392456_10_1_0_25_default_qubit.qasm,52,24
4392456_10_1_0_375_default_qubit.qasm,55,30
4392456_10_1_0_5_default_qubit.qasm,62,44
4392456_10_16_0_125_default_qubit.qasm,586,192
4392456_10_16_0_25_default_qubit.qasm,714,448
4392456_10_16_0_375_default_qubit.qasm,714,448
4392456_10_16_0_5_default_qubit.qasm,826,672
4392456_10_4_0_125_default_qubit.qasm,158,56
4392456_10_4_0_25_default_qubit.qasm,162,64
4392456_10_4_0_375_default_qubit.qasm,202,144
4392456_10_4_0_5_default_qubit.qasm,238,216
4392456_10_64_0_125_default_qubit.qasm,2378,896
4392456_10_64_0_25_default_qubit.qasm,2890,1920
4392456_10_64_0_375_default_qubit.qasm,3082,2304
4392456_10_64_0_5_default_qubit.qasm,2890,1920
4392456_16_1_0_125_default_qubit.qasm,81,34
4392456_16_1_0_25_default_qubit.qasm,87,46
4392456_16_1_0_375_default_qubit.qasm,115,102
4392456_16_1_0_5_default_qubit.qasm,132,136
4392456_16_16_0_125_default_qubit.qasm,960,352
4392456_16_16_0_25_default_qubit.qasm,1264,960
4392456_16_16_0_375_default_qubit.qasm,1392,1216
4392456_16_16_0_5_default_qubit.qasm,1632,1696
4392456_16_4_0_125_default_qubit.qasm,252,88
4392456_16_4_0_25_default_qubit.qasm,332,248
4392456_16_4_0_375_default_qubit.qasm,344,272
4392456_16_4_0_5_default_qubit.qasm,468,520
4392456_16_64_0_125_default_qubit.qasm,4176,2176
4392456_16_64_0_25_default_qubit.qasm,5072,3968
4392456_16_64_0_375_default_qubit.qasm,5584,4992
4392456_16_64_0_5_default_qubit.qasm,6480,6784
4392456_20_1_0_125_default_qubit.qasm,104,48
4392456_20_1_0_25_default_qubit.qasm,130,100
4392456_20_1_0_375_default_qubit.qasm,154,148
4392456_20_1_0_5_default_qubit.qasm,176,192
4392456_20_16_0_125_default_qubit.qasm,1332,704
4392456_20_16_0_25_default_qubit.qasm,1796,1632
4392456_20_16_0_375_default_qubit.qasm,2212,2464
4392456_20_16_0_5_default_qubit.qasm,2388,2816
4392456_20_4_0_125_default_qubit.qasm,320,120
4392456_20_4_0_25_default_qubit.qasm,452,384
4392456_20_4_0_375_default_qubit.qasm,580,640
4392456_20_4_0_5_default_qubit.qasm,668,816
4392456_20_64_0_125_default_qubit.qasm,5524,3328
4392456_20_64_0_25_default_qubit.qasm,7124,6528
4392456_20_64_0_375_default_qubit.qasm,9044,10368
4392456_20_64_0_5_default_qubit.qasm,9684,11648
4392456_24_1_0_125_default_qubit.qasm,137,82
4392456_24_16_0_125_default_qubit.qasm,1704,1056
4392456_24_4_0_125_default_qubit.qasm,424,224
4392456_24_64_0_125_default_qubit.qasm,7064,4864
4392457_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392457_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392457_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392457_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392457_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392457_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392457_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392457_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392457_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392457_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392457_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
4392457_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392457_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392457_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392457_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392457_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392457_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
4392457_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392458_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392458_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392458_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392458_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392458_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392458_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392458_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392458_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392458_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392458_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392458_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
4392458_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392458_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392458_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392458_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392458_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392458_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
4392458_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392459_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392459_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392459_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392459_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392459_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392459_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392459_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392459_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392459_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392459_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392459_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
4392459_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392459_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392459_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392459_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392459_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392459_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
