wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
2.295463363,-1.5812905015826038,10,1,1,lightning.kokkos,0.125,0.03189706802368164
1.283773896,-7.139108690601485,10,1,1,lightning.kokkos,0.25,0.02350163459777832
1.211104009,-5.704676139899237,10,1,1,lightning.kokkos,0.375,0.03305935859680176
1.250672283,-10.217730927626517,10,1,1,lightning.kokkos,0.5,0.04047751426696777
1.168842658,-4.293064192013209,10,4,1,lightning.kokkos,0.125,0.01936030387878418
1.203882587,-3.848922167660325,10,4,1,lightning.kokkos,0.25,0.029364824295043945
1.261641642,-7.695097259188079,10,4,1,lightning.kokkos,0.375,0.047061920166015625
1.305501243,-13.012213041032524,10,4,1,lightning.kokkos,0.5,0.06136918067932129
1.236846271,-2.4586014010389974,10,16,1,lightning.kokkos,0.125,0.045270442962646484
1.271603462,-6.948622424185169,10,16,1,lightning.kokkos,0.25,0.0824284553527832
1.328645921,-6.693179360964843,10,16,1,lightning.kokkos,0.375,0.08438253402709961
1.330412316,-10.217607209092733,10,16,1,lightning.kokkos,0.5,0.10871505737304688
1.389402553,-3.564892883961786,10,64,1,lightning.kokkos,0.125,0.18023180961608887
1.565560888,-7.462549552919519,10,64,1,lightning.kokkos,0.25,0.2880275249481201
1.587524733,-8.937034888017811,10,64,1,lightning.kokkos,0.375,0.3178524971008301
1.502627948,-7.609651720357873,10,64,1,lightning.kokkos,0.5,0.281480073928833
1.722561441,-5.724839734773078,16,16,1,lightning.kokkos,0.125,0.5181624889373779
2.271730808,-8.472596633092719,16,64,1,lightning.kokkos,0.125,0.9947471618652344
