wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
7.863996244,-1.5380859375,10,1,1,qiskit.aer,0.125,0.38747644424438477
4.202731754,-7.06640625,10,1,1,qiskit.aer,0.25,0.6045451164245605
4.145564205,-5.73828125,10,1,1,qiskit.aer,0.375,0.7629082202911377
4.721714435,-10.1142578125,10,1,1,qiskit.aer,0.5,1.2574646472930908
3.709892984,-4.3505859375,10,4,1,qiskit.aer,0.125,0.8639605045318604
3.231193083,-3.78515625,10,4,1,qiskit.aer,0.25,1.065436840057373
5.578655827,-7.6767578125,10,4,1,qiskit.aer,0.375,3.3766934871673584
8.607530228,-12.94140625,10,4,1,qiskit.aer,0.5,6.297079801559448
4.815371822,-2.4560546875,10,16,1,qiskit.aer,0.125,2.6907906532287598
11.054031949,-6.7763671875,10,16,1,qiskit.aer,0.25,8.808621883392334
11.091197419,-6.6220703125,10,16,1,qiskit.aer,0.375,8.884580135345459
19.064280131,-10.1005859375,10,16,1,qiskit.aer,0.5,16.69926929473877
15.638106575,-3.564453125,10,64,1,qiskit.aer,0.125,13.34719181060791
42.791247180,-7.3828125,10,64,1,qiskit.aer,0.25,40.01611542701721
56.670040773,-8.9130859375,10,64,1,qiskit.aer,0.375,53.603901624679565
42.938505241,-7.611328125,10,64,1,qiskit.aer,0.5,40.15647625923157
3.576284855,-4.6552734375,16,1,1,qiskit.aer,0.125,1.4503233432769775
4.349066379,-9.408203125,16,1,1,qiskit.aer,0.25,2.1553895473480225
10.140150604,-19.4384765625,16,1,1,qiskit.aer,0.375,7.5167763233184814
15.777225914,-30.86328125,16,1,1,qiskit.aer,0.5,12.419859647750854
4.858484397,-7.826171875,16,4,1,qiskit.aer,0.125,2.673691987991333
14.663560681,-13.0732421875,16,4,1,qiskit.aer,0.25,12.292366743087769
16.902235880,-14.9921875,16,4,1,qiskit.aer,0.375,14.51576018333435
47.453881326,-29.78515625,16,4,1,qiskit.aer,0.5,43.91075944900513
12.614606546,-5.6552734375,16,16,1,qiskit.aer,0.125,10.43493127822876
49.733597052,-15.0732421875,16,16,1,qiskit.aer,0.25,46.93484568595886
73.963020645,-18.9228515625,16,16,1,qiskit.aer,0.375,70.71958589553833
128.785625835,-26.55078125,16,16,1,qiskit.aer,0.5,124.24066209793091
81.047349593,-8.4423828125,16,64,1,qiskit.aer,0.125,77.96818685531616
207.582691135,-15.513671875,16,64,1,qiskit.aer,0.25,202.40152406692505
301.445689020,-19.4892578125,16,64,1,qiskit.aer,0.375,294.4851002693176
509.289876413,-26.38671875,16,64,1,qiskit.aer,0.5,498.24346113204956
6.594350567,-10.7158203125,20,1,1,qiskit.aer,0.125,4.362249135971069
14.872716137,-17.8427734375,20,1,1,qiskit.aer,0.25,12.26511526107788
25.054626866,-37.029296875,20,1,1,qiskit.aer,0.375,21.440544843673706
39.125891029,-33.7265625,20,1,1,qiskit.aer,0.5,34.021268367767334
8.513747124,-7.73046875,20,4,1,qiskit.aer,0.125,6.363086462020874
38.626972254,-19.5390625,20,4,1,qiskit.aer,0.25,35.90505027770996
89.738814445,-39.5234375,20,4,1,qiskit.aer,0.375,85.12316703796387
147.343411924,-46.1416015625,20,4,1,qiskit.aer,0.5,139.83525848388672
41.712360374,-10.4853515625,20,16,1,qiskit.aer,0.125,39.225568771362305
158.206642765,-25.56640625,20,16,1,qiskit.aer,0.25,153.75445461273193
319.997743616,-38.6904296875,20,16,1,qiskit.aer,0.375,312.1978554725647
406.256060311,-44.083984375,20,16,1,qiskit.aer,0.5,396.1960406303406
206.738354660,-12.9716796875,20,64,1,qiskit.aer,0.125,202.36861181259155
