wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
4.185338030,-1.581290501582588,10,1,1,default.qubit,0.125,0.03638958930969238
1.962819151,-7.139108690601428,10,1,1,default.qubit,0.25,0.03500556945800781
1.520174981,-5.70467613989918,10,1,1,default.qubit,0.375,0.03975963592529297
1.516883201,-10.21773092762643,10,1,1,default.qubit,0.5,0.05100131034851074
1.329856262,-4.293064192013061,10,4,1,default.qubit,0.125,0.05794072151184082
1.326524395,-3.848922167660219,10,4,1,default.qubit,0.25,0.06217455863952637
1.415312713,-7.695097259187872,10,4,1,default.qubit,0.375,0.0971217155456543
1.458851537,-13.012213041032183,10,4,1,default.qubit,0.5,0.1304018497467041
1.442452260,-2.458601401038745,10,16,1,default.qubit,0.125,0.17167949676513672
1.499826335,-6.948622424184469,10,16,1,default.qubit,0.25,0.2593860626220703
1.574450097,-6.693179360964151,10,16,1,default.qubit,0.375,0.2646148204803467
1.565345543,-10.217607209091689,10,16,1,default.qubit,0.5,0.3417699337005615
1.977683828,-3.5648928839603053,10,64,1,default.qubit,0.125,0.688974142074585
2.278608436,-7.462549552916498,10,64,1,default.qubit,0.25,1.0366790294647217
2.337572989,-8.937034888014207,10,64,1,default.qubit,0.375,1.154266357421875
2.565541731,-7.609651720354781,10,64,1,default.qubit,0.5,1.0385162830352783
1.340213373,-4.679768062632915,16,1,1,default.qubit,0.125,0.1402745246887207
1.367264579,-9.450528131411845,16,1,1,default.qubit,0.25,0.17337799072265625
1.916374010,-19.584602571742987,16,1,1,default.qubit,0.375,0.31449317932128906
2.824703271,-30.959125790958662,16,1,1,default.qubit,0.5,0.39523887634277344
1.493496543,-7.841877831586257,16,4,1,default.qubit,0.125,0.27255702018737793
1.668898405,-13.076184769735848,16,4,1,default.qubit,0.25,0.44291019439697266
1.772301358,-14.988037164762432,16,4,1,default.qubit,0.375,0.4766218662261963
2.886349968,-29.688596934664567,16,4,1,default.qubit,0.5,0.7688679695129395
2.196111344,-5.724839734772221,16,16,1,default.qubit,0.125,0.9081242084503174
2.712711046,-14.83292888784733,16,16,1,default.qubit,0.25,1.3938031196594238
2.956438060,-18.991673877538105,16,16,1,default.qubit,0.375,1.5944783687591553
3.679566589,-26.478455343297643,16,16,1,default.qubit,0.5,1.9468286037445068
5.208949634,-8.4725966330874,16,64,1,default.qubit,0.125,3.803823709487915
6.663089258,-15.47013285612286,16,64,1,default.qubit,0.25,5.2623069286346436
7.558246264,-19.459691402473673,16,64,1,default.qubit,0.375,5.993071794509888
8.802603912,-26.53742291735064,16,64,1,default.qubit,0.5,7.023449659347534
3.464131054,-10.53808606728837,20,1,1,default.qubit,0.125,2.262594223022461
5.539193465,-17.757857003987933,20,1,1,default.qubit,0.25,3.9307010173797607
7.648124717,-37.04918890480039,20,1,1,default.qubit,0.375,5.071894884109497
10.553842507,-33.44539041214908,20,1,1,default.qubit,0.5,6.453107595443726
5.314948457,-7.670608412476277,20,4,1,default.qubit,0.125,4.1859095096588135
9.593352712,-19.75358674720281,20,4,1,default.qubit,0.25,8.05262565612793
14.917944952,-39.57584792799353,20,4,1,default.qubit,0.375,12.021825790405273
19.269250861,-45.80888517732233,20,4,1,default.qubit,0.5,14.582106113433838
18.688330927,-10.398888058249046,20,16,1,default.qubit,0.125,17.2968111038208
29.393364650,-25.494385944439372,20,16,1,default.qubit,0.25,27.751002550125122
39.399096532,-38.49546281488235,20,16,1,default.qubit,0.375,36.63361835479736
44.879929721,-43.94528048874812,20,16,1,default.qubit,0.5,41.355138540267944
72.137217117,-12.999606409592518,20,64,1,default.qubit,0.125,70.76353406906128
107.084597056,-25.494194231581353,20,64,1,default.qubit,0.25,105.22773861885071
151.029733352,-40.4992632543453,20,64,1,default.qubit,0.375,147.77146220207214
162.874799530,-45.503106232635744,20,64,1,default.qubit,0.5,158.87279295921326
63.618373178,-15.681788960856528,24,1,1,default.qubit,0.125,62.19618344306946
101.749485801,-10.821597214399004,24,4,1,default.qubit,0.125,100.17917561531067
371.997729329,-16.381948204706866,24,16,1,default.qubit,0.125,369.43725180625916
1453.051926553,-19.002469575527726,24,64,1,default.qubit,0.125,1450.298310995102
