repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,grovers_search_decomposed,lightning.kokkos,3,1,100,1.0000000000000004,0.5618784427642822,0.5617902278900146,4.512469791,1,128,0
1,grovers_search_decomposed,lightning.kokkos,3,2,100,0.2500000000000001,0.6321694850921631,0.6320765018463135,2.203485905,1,128,0
1,grovers_search_decomposed,lightning.kokkos,3,4,100,1.0000000000000004,0.7837152481079102,0.7836134433746338,2.359278673,1,128,0
1,grovers_search_decomposed,lightning.kokkos,3,8,100,0.2500000000000001,1.1157886981964111,1.1156697273254395,2.687645014,1,128,0
1,grovers_search_decomposed,lightning.kokkos,3,16,100,1.0000000000000004,1.7606902122497559,1.76054048538208,3.142201038,1,128,0
1,grovers_search_decomposed,lightning.kokkos,3,32,100,0.2500000000000001,3.0838136672973633,3.083595037460327,4.128313970,1,128,0
1,grovers_search_decomposed,lightning.kokkos,4,1,100,0.7812500000000004,1.2516486644744873,1.2515597343444824,2.342905660,1,128,0
1,grovers_search_decomposed,lightning.kokkos,4,2,100,0.945312500000001,1.4238018989562988,1.423696517944336,2.496132586,1,128,0
1,grovers_search_decomposed,lightning.kokkos,4,4,100,0.012207031250000043,1.6950159072875977,1.6948928833007812,2.751919483,1,128,0
1,grovers_search_decomposed,lightning.kokkos,4,8,100,0.019456863403320396,2.2593300342559814,2.2591543197631836,3.372421837,1,128,0
1,grovers_search_decomposed,lightning.kokkos,4,16,100,0.35784565916401606,3.363544225692749,3.3633222579956055,4.425064730,1,128,0
1,grovers_search_decomposed,lightning.kokkos,4,32,100,0.9946685453314617,5.735126256942749,5.734756708145142,6.911664946,1,128,0
1,grovers_search_decomposed,lightning.kokkos,5,1,100,0.47265625000000033,2.9398953914642334,2.9397811889648438,4.008776887,1,128,0
1,grovers_search_decomposed,lightning.kokkos,5,2,100,0.9084472656250011,3.1908607482910156,3.1907315254211426,4.329148771,1,128,0
