repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,1,100,-0.4648474560444758,0.2208101749420166,0.21885156631469727,4.334454423,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,2,100,-0.6720757809935196,0.22396063804626465,0.22202134132385254,2.148237457,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,4,100,-0.5271884319193518,0.31170010566711426,0.3097813129425049,1.955793840,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,8,100,-0.08861007383394529,0.49585795402526855,0.49391674995422363,2.359836484,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,16,100,-0.9069228639898769,0.8975913524627686,0.8956844806671143,10.501909943,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,32,100,-0.38360530667073506,1.6696255207061768,1.6676156520843506,3.219188341,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,1,100,-0.464847456044476,0.19125032424926758,0.18964076042175293,1.744935107,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,2,100,-0.6720757809935192,0.25563859939575195,0.25368237495422363,1.968878584,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,4,100,-0.5271884319193507,0.38749170303344727,0.3855710029602051,1.887916630,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,8,100,-0.08861007383394542,0.5710279941558838,0.5693819522857666,2.508578184,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,16,100,-0.9069228639898731,1.1044259071350098,1.1024315357208252,2.772129277,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,32,100,-0.3836053066707323,2.049888849258423,2.0478010177612305,4.092242654,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,1,100,-0.46484745604447586,0.21007061004638672,0.20861601829528809,2.405448749,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,2,100,-0.6720757809935184,0.2777738571166992,0.27591729164123535,3.776817009,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,4,100,-0.52718843191935,0.41643619537353516,0.41450023651123047,3.736355365,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,8,100,-0.0886100738339451,0.6668906211853027,0.6651840209960938,2.979513041,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,16,100,-0.9069228639898681,1.2905895709991455,1.288614273071289,2.797544021,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,32,100,-0.3836053066707279,2.3697495460510254,2.3679115772247314,4.838958987,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,5,1,100,-0.46484745604447564,0.22342634201049805,0.2217867374420166,2.361870670,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,5,2,100,-0.6720757809935172,0.3041057586669922,0.30249834060668945,2.333579674,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,5,4,100,-0.5271884319193493,0.4578540325164795,0.4561476707458496,2.476824798,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,5,8,100,-0.08861007383394467,0.8038270473480225,0.8021774291992188,2.349938100,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,5,16,100,-0.9069228639898629,1.5117194652557373,1.5097401142120361,3.217299119,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,5,32,100,-0.38360530667072423,2.7723846435546875,2.770561695098877,4.963882362,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,6,1,100,-0.4648474560444753,0.2657740116119385,0.2638382911682129,1.993084363,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,6,2,100,-0.6720757809935166,0.32855868339538574,0.32662177085876465,1.698911972,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,6,4,100,-0.5271884319193487,0.5494701862335205,0.5477375984191895,1.682301868,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,6,8,100,-0.08861007383394445,0.9773926734924316,0.9756035804748535,2.141327537,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,6,16,100,-0.9069228639898583,1.7360272407531738,1.7339460849761963,2.962386752,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,6,32,100,-0.383605306670719,3.2014548778533936,3.199507236480713,4.455171058,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,7,1,100,-0.46484745604447425,0.2778892517089844,0.27625322341918945,1.412970122,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,7,2,100,-0.6720757809935164,0.371628999710083,0.36970019340515137,1.575478816,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,7,4,100,-0.5271884319193478,0.5867564678192139,0.5854015350341797,1.709122770,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,7,8,100,-0.08861007383394416,1.0707333087921143,1.0687282085418701,2.269497991,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,7,16,100,-0.9069228639898548,1.9000647068023682,1.8979923725128174,3.068293131,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,7,32,100,-0.3836053066707157,3.544174909591675,3.5421221256256104,4.664891693,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,8,1,100,-0.46484745604447403,0.29241514205932617,0.2904491424560547,1.419303481,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,8,2,100,-0.6720757809935145,0.39838743209838867,0.39638257026672363,1.619300434,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,8,4,100,-0.5271884319193472,0.6240954399108887,0.6221261024475098,1.861294680,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,8,8,100,-0.08861007383394404,1.159820795059204,1.157761812210083,2.302028298,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,8,16,100,-0.9069228639898482,2.074960947036743,2.0732388496398926,3.206470516,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,8,32,100,-0.3836053066707114,4.037811994552612,4.0355095863342285,6.051805229,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,9,1,100,-0.4648474560444773,0.30164670944213867,0.3001539707183838,1.430773958,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,9,2,100,-0.6720757809935116,0.42304468154907227,0.4213414192199707,1.570262917,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,9,4,100,-0.527188431919344,0.6683621406555176,0.6666934490203857,1.829015037,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,9,8,100,-0.08861007383394391,1.2331256866455078,1.23136568069458,2.360914698,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,9,16,100,-0.9069228639898472,2.3693981170654297,2.367305278778076,3.512129424,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,9,32,100,-0.3836053066707069,4.456372022628784,4.454092741012573,5.566787379,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,10,1,100,-0.46484745604447825,0.33508777618408203,0.33310770988464355,1.476227810,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,10,2,100,-0.6720757809935105,0.4697580337524414,0.4680624008178711,1.611122992,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,10,4,100,-0.5271884319193423,0.7564501762390137,0.7547838687896729,1.971511568,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,10,8,100,-0.08861007383394294,1.3544163703918457,1.3526732921600342,2.525599318,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,10,16,100,-0.9069228639898451,2.5670621395111084,2.564981460571289,3.702170990,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,10,32,100,-0.38360530667070697,4.748730897903442,4.746739864349365,5.883377172,1,128,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,11,1,100,-0.46484745604448013,0.37192249298095703,0.3699455261230469,1.534899397,1,128,0
