repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qmoa_complete_ST_evolution_QFT,default.qubit,4,1,100,1.06855993237173,3.987187147140503,3.9247841835021973,5.150162132,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,4,2,100,3.191572305839753,5.933408498764038,5.870391368865967,7.069785253,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,4,4,100,-2.1804024201602523,9.83489203453064,9.771989583969116,10.949792720,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,4,8,100,-10.373688978596196,17.847067832946777,17.784718990325928,20.857657941,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,4,16,100,-2.7321043260709477,32.84977197647095,32.789693117141724,35.350639337,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,4,32,100,-8.68052815600513,65.08597373962402,65.02197670936584,66.180201467,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,8,1,100,-0.07375169120693387,8.463795900344849,8.398959398269653,9.565116485,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,8,2,100,-7.934822821864291,12.591534852981567,12.528592824935913,13.717373079,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,8,4,100,-6.576690600991064,20.746047735214233,20.68216061592102,21.872887015,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,8,8,100,-13.589670135821226,36.43008351325989,36.366888999938965,37.725977175,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,8,16,100,16.08036706883892,69.56915378570557,69.49746441841125,70.649876550,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,8,32,100,11.530255282492982,137.35177946090698,137.28370022773743,138.588871487,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,12,1,100,-30.27820571019955,14.035170793533325,13.971270084381104,15.152385616,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,12,2,100,-24.95672433608278,21.642998695373535,21.57571506500244,23.564359851,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,12,4,100,-25.865082358640517,34.863786458969116,34.79757356643677,36.138078595,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,12,8,100,-14.651790884593906,62.52610969543457,62.45775508880615,63.690272281,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,12,16,100,-14.977412938484681,117.7281379699707,117.65398979187012,118.968530904,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,12,32,100,0.4844368463139274,232.80929350852966,232.73233699798584,233.978370096,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,16,1,100,-23.54508695911133,44.75707674026489,44.689712047576904,45.928728665,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,16,2,100,-41.20135508413734,63.44400358200073,63.37796711921692,65.832697217,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,16,4,100,-26.83019455689708,101.79106855392456,101.72440004348755,102.881090584,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,16,8,100,-40.66277916386057,174.60171365737915,174.53476929664612,175.696652732,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,16,16,100,-22.36035348881924,322.72570061683655,322.6525835990906,323.869187030,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,16,32,100,-26.991220576249898,639.8442902565002,639.7644081115723,641.009590984,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,20,1,100,-20.75179279211116,751.2738592624664,751.2042615413666,752.413667751,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,20,2,100,-16.570038258792547,1194.8956563472748,1194.821072101593,1196.767620239,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,20,4,100,-42.176584661234465,2422.045485496521,2421.9697318077087,2423.622413620,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,20,8,100,80.79004726127603,4817.6434581279755,4817.566677331924,4819.037214153,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,20,16,100,-53.76507031818213,9040.582967281342,9040.49894452095,9041.995674043,1,1,0
1,qmoa_complete_ST_evolution_QFT,default.qubit,20,32,100,-35.791078335335236,15640.74460029602,15640.661491394043,15642.207227306,1,1,0
