repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,grovers_search_decomposed,lightning.qubit,3,1,100,0.9999999999999993,0.6300861835479736,0.6298947334289551,4.834585513,1,32,0
1,grovers_search_decomposed,lightning.qubit,3,2,100,0.24999999999999978,0.6977241039276123,0.6976077556610107,2.476945195,1,32,0
1,grovers_search_decomposed,lightning.qubit,3,4,100,0.9999999999999984,0.868645429611206,0.8684632778167725,2.721010951,1,32,0
1,grovers_search_decomposed,lightning.qubit,3,8,100,0.24999999999999928,1.2455132007598877,1.245288610458374,3.269073570,1,32,0
1,grovers_search_decomposed,lightning.qubit,3,16,100,0.9999999999999947,2.003187417984009,2.002864122390747,3.658024319,1,32,0
1,grovers_search_decomposed,lightning.qubit,3,32,100,0.2499999999999974,3.517343282699585,3.5170021057128906,4.867987807,1,32,0
1,grovers_search_decomposed,lightning.qubit,4,1,100,0.7812499999999991,1.413334608078003,1.4131460189819336,2.624691071,1,32,0
1,grovers_search_decomposed,lightning.qubit,4,2,100,0.945312499999998,1.537217378616333,1.53702974319458,2.798480111,1,32,0
1,grovers_search_decomposed,lightning.qubit,4,4,100,0.012207031249999955,1.8948862552642822,1.8946781158447266,3.479709238,1,32,0
1,grovers_search_decomposed,lightning.qubit,4,8,100,0.019456863403320115,2.7118372917175293,2.7115845680236816,3.933167015,1,32,0
1,grovers_search_decomposed,lightning.qubit,4,16,100,0.35784565916400823,3.8670852184295654,3.8667426109313965,5.172902135,1,32,0
1,grovers_search_decomposed,lightning.qubit,4,32,100,0.9946685453314225,7.230008602142334,7.229360103607178,8.612302015,1,32,0
1,grovers_search_decomposed,lightning.qubit,5,1,100,0.4726562499999991,3.6136794090270996,3.6133995056152344,4.854864351,1,32,0
1,grovers_search_decomposed,lightning.qubit,5,2,100,0.908447265624997,4.018594980239868,4.018367528915405,5.374175527,1,32,0
1,grovers_search_decomposed,lightning.qubit,5,4,100,0.5817041397094694,4.462390422821045,4.462130784988403,5.769392070,1,32,0
1,grovers_search_decomposed,lightning.qubit,5,8,100,0.8360891748597985,5.604514122009277,5.6040942668914795,6.924341759,1,32,0
1,grovers_search_decomposed,lightning.qubit,5,16,100,0.783089445618848,7.9500346183776855,7.949564695358276,9.208404474,1,32,0
1,grovers_search_decomposed,lightning.qubit,5,32,100,0.43107533038059787,13.415085792541504,13.414172410964966,14.752830874,1,32,0
1,grovers_search_decomposed,lightning.qubit,6,1,100,0.25830078124999944,8.591490268707275,8.591095447540283,9.971477080,1,32,0
1,grovers_search_decomposed,lightning.qubit,6,2,100,0.6024246215820289,9.247405290603638,9.24709153175354,10.764901515,1,32,0
1,grovers_search_decomposed,lightning.qubit,6,4,100,0.9991823155432863,11.000484228134155,10.99997329711914,13.582086642,1,32,0
1,grovers_search_decomposed,lightning.qubit,6,8,100,0.01445307576928718,12.712376117706299,12.711797714233398,15.171770150,1,32,0
1,grovers_search_decomposed,lightning.qubit,6,16,100,0.16532803871793414,17.513704776763916,17.51285696029663,19.439755998,1,32,0
1,grovers_search_decomposed,lightning.qubit,6,32,100,0.7217799441311714,29.389799118041992,29.387707471847534,30.826464728,1,32,0
1,grovers_search_decomposed,lightning.qubit,7,1,100,0.13482666015625003,20.07674741744995,20.076167106628418,21.420684494,1,32,0
1,grovers_search_decomposed,lightning.qubit,7,2,100,0.3438951969146735,19.774840116500854,19.774298906326294,21.161615229,1,32,0
1,grovers_search_decomposed,lightning.qubit,7,4,100,0.8163770193968982,22.767672538757324,22.76693844795227,25.736831847,1,32,0
1,grovers_search_decomposed,lightning.qubit,7,8,100,0.7180421010897443,30.759757041931152,30.7585768699646,32.389427070,1,32,0
1,grovers_search_decomposed,lightning.qubit,7,16,100,0.7028091721271105,40.56415390968323,40.5615439414978,41.853943566,1,32,0
1,grovers_search_decomposed,lightning.qubit,7,32,100,0.9169513321611453,69.06614327430725,69.0600905418396,70.550617284,1,32,0
1,grovers_search_decomposed,lightning.qubit,8,1,100,0.06885528564453108,44.222895860672,44.22210073471069,45.550148469,1,32,0
1,grovers_search_decomposed,lightning.qubit,8,2,100,0.18337012082338255,50.22517132759094,50.22403407096863,51.699687304,1,32,0
1,grovers_search_decomposed,lightning.qubit,8,4,100,0.5111355041622164,53.78541159629822,53.78400897979736,55.921484301,1,32,0
1,grovers_search_decomposed,lightning.qubit,8,8,100,0.9956198656943137,67.06898403167725,67.06619930267334,69.092555990,1,32,0
1,grovers_search_decomposed,lightning.qubit,8,16,100,0.04803639715518619,100.3910505771637,100.38553619384766,101.745698721,1,32,0
1,grovers_search_decomposed,lightning.qubit,8,32,100,0.25594396501385575,166.85694575309753,166.83876419067383,168.344820289,1,32,0
1,grovers_search_decomposed,lightning.qubit,9,1,100,0.0347909927368164,98.22934031486511,98.22780251502991,99.863890592,1,32,0
1,grovers_search_decomposed,lightning.qubit,9,2,100,0.09463772200979367,105.19245290756226,105.19009375572205,106.590843854,1,32,0
1,grovers_search_decomposed,lightning.qubit,9,4,100,0.2847428020326556,123.26859331130981,123.26447057723999,124.517339520,1,32,0
1,grovers_search_decomposed,lightning.qubit,9,8,100,0.7637221440186164,159.56099653244019,159.55002617835999,161.429677742,1,32,0
1,grovers_search_decomposed,lightning.qubit,9,16,100,0.7759740806662,241.27613401412964,241.25241875648499,242.640586233,1,32,0
1,grovers_search_decomposed,lightning.qubit,9,32,100,0.6364072997450183,404.65016412734985,404.60365438461304,406.098648197,1,32,0
1,grovers_search_decomposed,lightning.qubit,10,1,100,0.017486691474913916,219.4411814212799,219.43636536598206,222.111856231,1,32,0
1,grovers_search_decomposed,lightning.qubit,10,2,100,0.04806934856605683,244.8060781955719,244.79940843582153,246.152627932,1,32,0
1,grovers_search_decomposed,lightning.qubit,10,4,100,0.15012695269790668,283.14874720573425,283.1348042488098,285.006578540,1,32,0
1,grovers_search_decomposed,lightning.qubit,10,8,100,0.4661734279596007,381.4902515411377,381.46189427375793,383.654872059,1,32,0
1,grovers_search_decomposed,lightning.qubit,10,16,100,0.9875275854431544,558.9546439647675,558.8991675376892,560.302825859,1,32,0
1,grovers_search_decomposed,lightning.qubit,10,32,100,0.07013891822890879,933.3508729934692,933.2453949451447,934.694784562,1,32,0
1,grovers_search_decomposed,lightning.qubit,11,1,100,0.008766189217567005,510.35053062438965,510.3372993469238,511.617361359,1,32,0
1,grovers_search_decomposed,lightning.qubit,11,2,100,0.024223848595508923,534.3732314109802,534.3527896404266,535.619589944,1,32,0
1,grovers_search_decomposed,lightning.qubit,11,4,100,0.07706217555205808,613.7329089641571,613.699579000473,614.927430312,1,32,0
1,grovers_search_decomposed,lightning.qubit,11,8,100,0.25673073794595813,863.8249781131744,863.7557525634766,866.426707192,1,32,0
1,grovers_search_decomposed,lightning.qubit,11,16,100,0.7362122192402291,1287.2191216945648,1287.0885589122772,1288.595741530,1,32,0
1,grovers_search_decomposed,lightning.qubit,11,32,100,0.8022856154657142,2095.999326944351,2095.770126581192,2097.371917342,1,32,0
1,grovers_search_decomposed,lightning.qubit,12,1,100,0.004388811066746769,949.917596578598,949.8877577781677,951.476422796,1,32,0
1,grovers_search_decomposed,lightning.qubit,12,2,100,0.012159412690387757,1046.4813368320465,1046.4362716674805,1047.537669326,1,32,0
1,grovers_search_decomposed,lightning.qubit,12,4,100,0.03903837227158073,1290.5080919265747,1290.4323108196259,1291.702294300,1,32,0
1,grovers_search_decomposed,lightning.qubit,12,8,100,0.13462013811034795,1740.4821181297302,1740.3475313186646,1741.664837793,1,32,0
1,grovers_search_decomposed,lightning.qubit,12,16,100,0.4439829119243641,2575.166937351227,2574.9201095104218,2579.019306498,1,32,0
1,grovers_search_decomposed,lightning.qubit,12,32,100,0.9820534344529704,4538.9621794223785,4538.449813365936,4558.824570874,1,32,0
1,grovers_search_decomposed,lightning.qubit,13,1,100,0.0021958353463556123,2405.4277210235596,2405.34929227829,2444.820505466,1,32,0
1,grovers_search_decomposed,lightning.qubit,13,2,100,0.006091602842841697,2702.1065974235535,2701.998059272766,3194.044273888,1,32,0
1,grovers_search_decomposed,lightning.qubit,13,4,100,0.019646966890648994,3235.4913964271545,3235.314270734787,3413.073719120,1,32,0
1,grovers_search_decomposed,lightning.qubit,13,8,100,0.06891823634797578,4319.519096136093,4319.201673984528,4321.897067719,1,32,0
1,grovers_search_decomposed,lightning.qubit,13,16,100,0.2431445928845152,6385.245198011398,6384.653683423996,6390.427321437,1,32,0
