repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,grovers_search_decomposed,qiskit.aer,10,1,100,0.0107421875,434.5520565509796,434.5460431575775,437.786553941,1,64,0
1,grovers_search_decomposed,qiskit.aer,10,2,100,0.0439453125,677.000892162323,676.9923286437988,679.735583515,1,64,0
1,grovers_search_decomposed,qiskit.aer,10,4,100,0.1591796875,1178.8304359912872,1178.8169786930084,1182.132698121,1,64,0
1,grovers_search_decomposed,qiskit.aer,10,8,100,0.4833984375,2153.2497889995575,2153.225435733795,2159.429363213,1,64,0
1,grovers_search_decomposed,qiskit.aer,10,16,100,0.9873046875,4083.2063331604004,4083.1587970256805,4124.402837313,1,64,0
1,grovers_search_decomposed,qiskit.aer,10,32,100,0.0654296875,7710.748911857605,7710.663145303726,7764.808328816,1,64,0
1,grovers_search_decomposed,qiskit.aer,11,1,100,0.0078125,930.9653809070587,930.9517951011658,1290.590415856,1,64,0
1,grovers_search_decomposed,qiskit.aer,11,2,100,0.0341796875,1464.7126941680908,1464.6942081451416,1468.301121149,1,64,0
1,grovers_search_decomposed,qiskit.aer,11,4,100,0.0869140625,2726.5968656539917,2726.5656683444977,2730.764523331,1,64,0
1,grovers_search_decomposed,qiskit.aer,11,8,100,0.2548828125,5057.7599148750305,5057.707499504089,5066.127446709,1,64,0
1,grovers_search_decomposed,qiskit.aer,11,16,100,0.7333984375,9251.851268529892,9251.752354860306,9262.574085263,1,64,0
