repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,grovers_search_qft,lightning.qubit,3,1,100,0.7812499999999988,1.350165605545044,1.2792308330535889,45,23,28,5.613226470,1,128,0
1,grovers_search_qft,lightning.qubit,3,2,100,0.9453124999999977,2.360964298248291,2.2689197063446045,87,43,56,4.116209572,1,128,0
1,grovers_search_qft,lightning.qubit,3,4,100,0.012207031249999962,4.449665546417236,4.264461040496826,171,83,112,6.183209519,1,128,0
1,grovers_search_qft,lightning.qubit,3,8,100,0.019456863403320118,8.495732069015503,8.0041823387146,339,163,224,10.235227281,1,128,0
1,grovers_search_qft,lightning.qubit,3,16,100,0.3578456591640065,16.30730652809143,14.69926381111145,675,323,448,17.774077924,1,128,0
1,grovers_search_qft,lightning.qubit,3,32,100,0.9946685453314118,34.56906795501709,29.17182230949402,1347,643,896,35.727272432,1,128,0
1,grovers_search_qft,lightning.qubit,4,1,100,0.47265624999999895,2.7098710536956787,2.5654401779174805,111,42,84,3.869639436,1,128,0
1,grovers_search_qft,lightning.qubit,4,2,100,0.9084472656249962,5.21743369102478,4.98164176940918,218,80,168,6.316230837,1,128,0
1,grovers_search_qft,lightning.qubit,4,4,100,0.581704139709468,9.736395120620728,9.106069564819336,432,156,336,10.889607306,1,128,0
1,grovers_search_qft,lightning.qubit,4,8,100,0.8360891748597953,18.679483890533447,16.71571397781372,860,308,672,19.820599895,1,128,0
1,grovers_search_qft,lightning.qubit,4,16,100,0.7830894456188426,40.94259452819824,33.81626510620117,1716,612,1344,42.079202962,1,128,0
1,grovers_search_qft,lightning.qubit,4,32,100,0.43107533038059137,99.29087495803833,72.38166451454163,3428,1220,2688,100.444902921,1,128,0
1,grovers_search_qft,lightning.qubit,5,1,100,0.258300781249999,5.795679569244385,5.472316741943359,273,77,220,6.982746072,1,128,0
1,grovers_search_qft,lightning.qubit,5,2,100,0.6024246215820271,10.480179786682129,9.710508108139038,541,149,440,11.631998565,1,128,0
1,grovers_search_qft,lightning.qubit,5,4,100,0.9991823155432832,21.081087350845337,18.70676279067993,1077,293,880,22.221093432,1,128,0
1,grovers_search_qft,lightning.qubit,5,8,100,0.01445307576928721,47.20936989784241,38.611738204956055,2149,581,1760,48.304015487,1,128,0
1,grovers_search_qft,lightning.qubit,5,16,100,0.1653280387179323,110.82313776016235,79.10307312011719,4293,1157,3520,111.969909389,1,128,0
1,grovers_search_qft,lightning.qubit,5,32,100,0.7217799441311517,302.92069578170776,178.52958154678345,8581,2309,7040,304.073476907,1,128,0
1,grovers_search_qft,lightning.qubit,6,1,100,0.13482666015625008,12.086409330368042,11.086616039276123,659,144,552,13.314393213,1,128,0
1,grovers_search_qft,lightning.qubit,6,2,100,0.3438951969146735,24.209179878234863,21.303717613220215,1312,282,1104,25.355830526,1,128,0
1,grovers_search_qft,lightning.qubit,6,4,100,0.8163770193969,52.86844778060913,42.980427503585815,2618,558,2208,54.137636176,1,128,0
1,grovers_search_qft,lightning.qubit,6,8,100,0.7180421010897505,124.19002389907837,87.94843745231628,5230,1110,4416,125.351369397,1,128,0
1,grovers_search_qft,lightning.qubit,6,16,100,0.7028091721271197,354.31477093696594,204.16782188415527,10454,2214,8832,355.464759368,1,128,0
1,grovers_search_qft,lightning.qubit,6,32,100,0.9169513321611689,1076.3519895076752,453.32471108436584,20902,4422,17664,1078.017307564,1,128,0
1,grovers_search_qft,lightning.qubit,7,1,100,0.06885528564453093,27.281915187835693,23.814759016036987,1557,275,1332,28.439573085,1,128,0
1,grovers_search_qft,lightning.qubit,7,2,100,0.18337012082338297,57.754815340042114,46.277257442474365,3107,543,2664,58.871808462,1,128,0
1,grovers_search_qft,lightning.qubit,7,4,100,0.5111355041622152,143.36917781829834,100.31941676139832,6207,1079,5328,144.523045729,1,128,0
1,grovers_search_qft,lightning.qubit,7,8,100,0.995619865694315,402.34251832962036,231.22586941719055,12407,2151,10656,403.546808808,1,128,0
1,grovers_search_qft,lightning.qubit,7,16,100,0.04803639715518679,1257.5824172496796,516.418961763382,24807,4295,21312,1258.875107780,1,128,0
1,grovers_search_qft,lightning.qubit,7,32,100,0.25594396501386013,5232.936722517014,1297.5084254741669,49607,8583,42624,5234.487969979,1,128,0
1,grovers_search_qft,lightning.qubit,8,1,100,0.0347909927368165,67.98548817634583,54.16538906097412,3607,534,3140,71.903595599,1,128,0
1,grovers_search_qft,lightning.qubit,8,2,100,0.0946377220097944,166.87922310829163,116.26984667778015,7206,1060,6280,168.563377790,1,128,0
1,grovers_search_qft,lightning.qubit,8,4,100,0.28474280203266006,468.55357813835144,268.3475968837738,14404,2112,12560,470.219540508,1,128,0
1,grovers_search_qft,lightning.qubit,8,8,100,0.7637221440186397,1498.6817350387573,603.9878730773926,28800,4216,25120,1500.382281952,1,128,0
1,grovers_search_qft,lightning.qubit,8,16,100,0.7759740806662447,5795.048992395401,1452.812040090561,57592,8424,50240,5797.030178742,1,128,0
1,grovers_search_qft,lightning.qubit,8,32,100,0.6364072997450856,25085.89284348488,3657.357197523117,115176,16840,100480,25090.773308660,1,128,0
