repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,1,100,1.068559932371718,0.9736766815185547,0.7940526008605957,94,34,68,2.803508490,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,2,100,3.1915723058397396,1.724445104598999,1.4683573246002197,187,64,136,3.568581532,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,4,100,-2.180402420160347,3.399839162826538,2.8388702869415283,373,124,272,4.926256718,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,8,100,-10.37368897859625,6.936891794204712,5.3363683223724365,745,244,544,8.053815872,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,16,100,-2.7321043260707363,15.471180200576782,9.723876476287842,1489,484,1088,16.616782816,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,32,100,-8.680528156004975,40.22789692878723,19.300670623779297,2977,964,2176,41.352968887,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,1,100,-0.07375169120699326,1.8054490089416504,1.5251991748809814,94,68,136,2.935133709,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,2,100,-7.934822821864264,3.4968628883361816,2.8777096271514893,187,128,272,4.651263596,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,4,100,-6.576690600991087,7.2322680950164795,5.461803197860718,373,248,544,8.406843600,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,8,100,-13.589670135821036,15.694213628768921,9.740845441818237,745,488,1088,16.842269736,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,16,100,16.080367068839255,40.68757700920105,19.26013469696045,1489,968,2176,41.862280379,1,16,0
