repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,1,100,-0.4648474560444758,0.15516352653503418,0.148848295211792,7,9,2,5.697513023,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,2,100,-0.6720757809935196,0.1886613368988037,0.17911219596862793,13,16,4,2.111506241,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,4,100,-0.5271884319193518,0.2828700542449951,0.26497912406921387,25,30,8,2.150009676,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,8,100,-0.08861007383394529,0.5106697082519531,0.4709322452545166,49,58,16,2.348883934,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,16,100,-0.9069228639898769,0.9435601234436035,0.8497052192687988,97,114,32,2.595823668,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,32,100,-0.38360530667073506,1.9227285385131836,1.6507067680358887,193,226,64,3.028365669,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,1,100,-0.464847456044476,0.14715099334716797,0.14129328727722168,7,13,2,1.283344867,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,2,100,-0.6720757809935192,0.21155762672424316,0.2016890048980713,13,23,4,1.345174195,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,4,100,-0.5271884319193507,0.3348536491394043,0.3154916763305664,25,43,8,1.433780201,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,8,100,-0.08861007383394542,0.5868473052978516,0.5438807010650635,49,83,16,1.716707954,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,16,100,-0.9069228639898731,1.1527135372161865,1.0433974266052246,97,163,32,2.281761742,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,32,100,-0.3836053066707323,2.3570539951324463,2.0666537284851074,193,323,64,3.508459039,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,1,100,-0.46484745604447586,0.16569924354553223,0.15841412544250488,7,17,2,1.259999022,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,2,100,-0.6720757809935184,0.2403256893157959,0.22769522666931152,13,30,4,1.358080441,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,4,100,-0.52718843191935,0.3907620906829834,0.36511826515197754,25,56,8,1.518347308,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,8,100,-0.0886100738339451,0.7233178615570068,0.6403920650482178,49,108,16,1.878054458,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,16,100,-0.9069228639898681,1.4329257011413574,1.272207498550415,97,212,32,2.578769451,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,32,100,-0.3836053066707279,3.019455909729004,2.5425808429718018,193,420,64,4.195475653,1,32,0
1,qaoa_hypercube_maxcut_evolution,lightning.qubit,5,1,100,-0.46484745604447564,0.17945289611816406,0.17299103736877441,7,21,2,1.292818625,1,32,0
