repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
2,qaoa_hypercube_maxcut_evolution,default.qubit,2,1,100,-0.03192008250120046,0.5716309547424316,0.5668973922729492,7,9,2,1.787049040,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,2,2,100,-0.8565739571158423,0.8268730640411377,0.8216049671173096,13,16,4,1.945794839,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,2,4,100,-0.08700670997587244,1.098508596420288,1.092078685760498,25,30,8,2.202029549,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,2,8,100,-0.8356068075518674,1.7163400650024414,1.70772123336792,49,58,16,2.870008831,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,2,16,100,-0.5258930715051304,3.093181610107422,3.0791847705841064,97,114,32,4.219204593,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,2,32,100,-0.6517401644548776,5.794579744338989,5.769602298736572,193,226,64,6.907566203,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,3,1,100,-0.031920082501200445,0.6629946231842041,0.6582674980163574,7,13,2,1.787867450,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,3,2,100,-0.8565739571158418,0.9066033363342285,0.9010758399963379,13,23,4,1.964227192,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,3,4,100,-0.08700670997587226,1.3351175785064697,1.3282947540283203,25,43,8,2.439175970,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,3,8,100,-0.835606807551866,2.3977668285369873,2.386772871017456,49,83,16,3.502365234,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,3,16,100,-0.5258930715051278,4.11771035194397,4.101317405700684,97,163,32,5.199756323,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,3,32,100,-0.6517401644548692,7.581350088119507,7.5494608879089355,193,323,64,8.663734371,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,4,1,100,-0.03192008250120044,0.7504854202270508,0.7455964088439941,7,17,2,1.807106802,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,4,2,100,-0.8565739571158415,1.0377120971679688,1.0319950580596924,13,30,4,2.431782363,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,4,4,100,-0.08700670997587223,1.6135003566741943,1.6056077480316162,25,56,8,2.634484322,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,4,8,100,-0.8356068075518629,2.7335267066955566,2.7222981452941895,49,108,16,3.795358976,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,4,16,100,-0.525893071505125,4.984086990356445,4.947569370269775,97,212,32,6.062152794,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,4,32,100,-0.6517401644548633,9.204834938049316,9.165125131607056,193,420,64,10.282113896,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,5,1,100,-0.03192008250120044,0.8279149532318115,0.8228282928466797,7,21,2,1.907057245,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,5,2,100,-0.8565739571158404,1.1720755100250244,1.166130542755127,13,37,4,2.222356558,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,5,4,100,-0.08700670997587216,1.8121724128723145,1.8040525913238525,25,69,8,2.886012894,1,1,0
