repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
3,grovers_search_qft,default.qubit,2,1,100,0.9999999999999991,1.1837258338928223,1.1580705642700195,19,12,8,5.376393716,1,1,0
3,grovers_search_qft,default.qubit,2,2,100,0.2499999999999996,1.755340814590454,1.7321085929870605,36,22,16,3.530625180,1,1,0
3,grovers_search_qft,default.qubit,2,4,100,0.9999999999999971,2.9268622398376465,2.8917863368988037,70,42,32,4.501931560,1,1,0
3,grovers_search_qft,default.qubit,2,8,100,0.24999999999999867,5.205664396286011,5.130769729614258,138,82,64,6.330216681,1,1,0
3,grovers_search_qft,default.qubit,2,16,100,0.9999999999999896,9.770240306854248,9.657422542572021,274,162,128,10.922494769,1,1,0
3,grovers_search_qft,default.qubit,2,32,100,0.2499999999999949,19.181795835494995,18.92954182624817,546,322,256,20.239308366,1,1,0
3,grovers_search_qft,default.qubit,3,1,100,0.7812499999999989,2.4317848682403564,2.399792432785034,45,23,28,3.501186162,1,1,0
3,grovers_search_qft,default.qubit,3,2,100,0.9453124999999976,3.881448268890381,3.8342041969299316,87,43,56,4.990202129,1,1,0
3,grovers_search_qft,default.qubit,3,4,100,0.012207031249999934,6.892060995101929,6.812646389007568,171,83,112,8.027253518,1,1,0
3,grovers_search_qft,default.qubit,3,8,100,0.019456863403320108,12.958672761917114,12.793154001235962,339,163,224,14.063834868,1,1,0
3,grovers_search_qft,default.qubit,3,16,100,0.35784565916400624,24.685346603393555,24.384405851364136,675,323,448,25.800342997,1,1,0
3,grovers_search_qft,default.qubit,3,32,100,0.9946685453314107,49.309645652770996,48.600202322006226,1347,643,896,50.334612083,1,1,0
3,grovers_search_qft,default.qubit,4,1,100,0.47265624999999895,5.267004489898682,5.199391841888428,111,42,84,6.259200996,1,1,0
3,grovers_search_qft,default.qubit,4,2,100,0.908447265624996,8.807770252227783,8.700881242752075,218,80,168,9.995176071,1,1,0
3,grovers_search_qft,default.qubit,4,4,100,0.5817041397094689,15.989205837249756,15.78828740119934,432,156,336,17.144407664,1,1,0
3,grovers_search_qft,default.qubit,4,8,100,0.8360891748597961,30.146576166152954,29.758856773376465,860,308,672,31.235183702,1,1,0
3,grovers_search_qft,default.qubit,4,16,100,0.783089445618843,58.13946843147278,57.21941876411438,1716,612,1344,59.249524792,1,1,0
3,grovers_search_qft,default.qubit,4,32,100,0.4310753303805904,124.53687071800232,121.97651672363281,3428,1220,2688,125.566852434,1,1,0
3,grovers_search_qft,default.qubit,5,1,100,0.2583007812499988,12.835907697677612,12.670492887496948,273,77,220,13.952577835,1,1,0
3,grovers_search_qft,default.qubit,5,2,100,0.6024246215820265,21.073960065841675,20.805224657058716,541,149,440,22.136402148,1,1,0
3,grovers_search_qft,default.qubit,5,4,100,0.9991823155432787,38.87282752990723,38.322203636169434,1077,293,880,39.986264129,1,1,0
3,grovers_search_qft,default.qubit,5,8,100,0.014453075769287137,77.47189593315125,76.14848947525024,2149,581,1760,78.536973757,1,1,0
3,grovers_search_qft,default.qubit,5,16,100,0.16532803871793117,153.04969429969788,149.48102116584778,4293,1157,3520,154.159264716,1,1,0
3,grovers_search_qft,default.qubit,5,32,100,0.7217799441311495,313.8671543598175,302.7110004425049,8581,2309,7040,315.823150215,1,1,0
3,grovers_search_qft,default.qubit,6,1,100,0.13482666015625008,28.271443843841553,27.86816430091858,659,144,552,29.360212728,1,1,0
3,grovers_search_qft,default.qubit,6,2,100,0.343895196914674,47.45045804977417,46.74505138397217,1312,282,1104,48.524347964,1,1,0
3,grovers_search_qft,default.qubit,6,4,100,0.8163770193969018,84.13161420822144,82.60548734664917,2618,558,2208,85.208514008,1,1,0
3,grovers_search_qft,default.qubit,6,8,100,0.7180421010897519,164.08695793151855,159.76937079429626,5230,1110,4416,165.138280493,1,1,0
3,grovers_search_qft,default.qubit,6,16,100,0.7028091721271266,337.65734481811523,323.6940088272095,10454,2214,8832,338.691083478,1,1,0
3,grovers_search_qft,default.qubit,6,32,100,0.9169513321611755,779.794075012207,723.5324058532715,20902,4422,17664,780.869191719,1,1,0
3,grovers_search_qft,default.qubit,7,1,100,0.06885528564453151,60.559608459472656,59.567970275878906,1557,275,1332,61.585693619,1,1,0
3,grovers_search_qft,default.qubit,7,2,100,0.18337012082338436,103.2005500793457,101.06996130943298,3107,543,2664,104.209163013,1,1,0
3,grovers_search_qft,default.qubit,7,4,100,0.5111355041622234,194.7965362071991,189.15701627731323,6207,1079,5328,195.854566586,1,1,0
3,grovers_search_qft,default.qubit,7,8,100,0.995619865694336,404.325266122818,384.8220925331116,12407,2151,10656,405.390993268,1,1,0
3,grovers_search_qft,default.qubit,7,16,100,0.04803639715518646,912.0692808628082,835.828681230545,24807,4295,21312,913.177110946,1,1,0
3,grovers_search_qft,default.qubit,7,32,100,0.25594396501386596,2221.291862010956,1920.5042531490326,49607,8583,42624,2222.373173406,1,1,0
3,grovers_search_qft,default.qubit,8,1,100,0.03479099273681651,136.91530013084412,134.11749243736267,3607,534,3140,138.122855735,1,1,0
3,grovers_search_qft,default.qubit,8,2,100,0.09463772200979428,241.2347822189331,233.81230092048645,7206,1060,6280,242.271690523,1,1,0
3,grovers_search_qft,default.qubit,8,4,100,0.28474280203266294,484.7131984233856,460.03343176841736,14404,2112,12560,485.714738103,1,1,0
3,grovers_search_qft,default.qubit,8,8,100,0.763722144018647,1081.8242814540863,978.9862105846405,28800,4216,25120,1082.884905710,1,1,0
3,grovers_search_qft,default.qubit,8,16,100,0.7759740806662618,2541.3680851459503,2201.5574009418488,57592,8424,50240,2542.426320525,1,1,0
3,grovers_search_qft,default.qubit,8,32,100,0.6364072997450774,6428.760521411896,5107.610786914825,115176,16840,100480,6429.814214325,1,1,0
3,grovers_search_qft,default.qubit,9,1,100,0.017486691474913777,317.82207012176514,307.6351897716522,8217,1049,7252,319.448213304,1,1,0
3,grovers_search_qft,default.qubit,9,2,100,0.04806934856605572,588.5305092334747,554.7841184139252,16425,2089,14504,590.106490626,1,1,0
3,grovers_search_qft,default.qubit,9,4,100,0.15012695269789858,1256.740324497223,1135.2687327861786,32841,4169,29008,1258.522629935,1,1,0
3,grovers_search_qft,default.qubit,9,8,100,0.4661734279595596,2902.7544281482697,2468.339040517807,65673,8329,58016,2906.466170442,1,1,0
3,grovers_search_qft,default.qubit,9,16,100,0.9875275854429577,7925.4858984947205,5936.693068981171,131337,16649,116032,7927.968280821,1,1,0
