repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,1,100,1.0685599323717412,2.2612526416778564,2.040911912918091,3.911552501,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,2,100,3.191572305839765,2.9713754653930664,2.7592759132385254,4.568372424,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,4,100,-2.1804024201603056,4.313775539398193,4.1056907176971436,5.736098004,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,8,100,-10.373688978596904,7.150209426879883,6.938965082168579,8.309862074,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,16,100,-2.7321043260715365,12.642818212509155,12.433130502700806,13.768980154,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,32,100,-8.680528156007782,24.243654251098633,24.033931016921997,25.365838712,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,1,100,-0.07375169120700853,4.96191143989563,4.751007318496704,6.047187166,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,2,100,-7.9348228218646595,6.446971416473389,6.232898235321045,7.555111011,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,4,100,-6.576690600991635,9.259532451629639,9.04642629623413,10.395343312,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,8,100,-13.589670135823393,15.139503717422485,14.926720142364502,16.262008366,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,16,100,16.080367068844122,27.291980743408203,27.077170372009277,28.440644810,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,32,100,11.530255282500558,51.96485114097595,51.74756908416748,53.107146769,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,1,100,-30.27820571020058,19.0931134223938,18.882635831832886,20.132061270,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,2,100,-24.95672433608416,21.36977529525757,21.1547954082489,22.460042575,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,4,100,-25.86508235864362,26.152379274368286,25.93589949607849,27.307804752,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,8,100,-14.651790884597238,35.79021906852722,35.5702486038208,36.907094211,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,16,100,-14.977412938492424,53.70959448814392,53.489861249923706,55.018817253,1,128,0
1,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,32,100,0.4844368463134271,97.78358888626099,97.55875492095947,99.072941110,1,128,0
