repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,1,100,1.0685599323717367,2.065840005874634,2.0099117755889893,3.180256435,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,2,100,3.191572305839758,2.7128968238830566,2.6567490100860596,3.832445896,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,4,100,-2.1804024201603562,3.9273664951324463,3.871382713317871,5.167838189,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,8,100,-10.373688978596366,6.3214170932769775,6.264962196350098,7.433397677,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,16,100,-2.7321043260708064,11.144084692001343,11.087836980819702,12.248790688,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,32,100,-8.680528156005325,21.136642694473267,21.07937717437744,22.234431010,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,1,100,-0.07375169120699354,4.636501789093018,4.580004453659058,5.675436749,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,2,100,-7.934822821864319,5.941316843032837,5.883870601654053,7.037067120,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,4,100,-6.576690600991176,8.399116039276123,8.342048168182373,9.540721964,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,8,100,-13.589670135821354,13.114781379699707,13.057145595550537,14.225618130,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,16,100,16.080367068839912,23.087146997451782,23.029031991958618,24.231531597,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,32,100,11.530255282493856,44.32416129112244,44.26421666145325,45.453682411,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,1,100,-30.278205710199828,18.709190130233765,18.65126371383667,19.823387767,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,2,100,-24.956724336082996,20.580161094665527,20.520705461502075,21.668930408,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,4,100,-25.865082358641075,24.25241780281067,24.193433046340942,25.329820812,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,8,100,-14.651790884594272,32.254212856292725,32.19410729408264,33.464995055,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,16,100,-14.977412938484997,48.14787006378174,48.085328102111816,49.277391088,1,128,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,32,100,0.4844368463136716,82.47632098197937,82.41249680519104,83.570035537,1,128,0
