repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,1,100,1.0685599323717367,2.090642213821411,2.0255627632141113,3.470234773,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,2,100,3.191572305839758,2.6657328605651855,2.610643148422241,3.905990613,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,4,100,-2.1804024201603562,3.8770864009857178,3.8215765953063965,5.004793300,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,8,100,-10.373688978596366,6.166802883148193,6.108730316162109,7.225250200,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,16,100,-2.7321043260708064,11.684163331985474,11.625046491622925,12.745283646,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,32,100,-8.680528156005325,21.009976863861084,20.950762033462524,22.090518018,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,1,100,-0.07375169120699354,4.886202812194824,4.825292587280273,5.989287442,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,2,100,-7.934822821864319,6.049962520599365,5.990993499755859,7.177186641,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,4,100,-6.576690600991176,8.364992618560791,8.306043148040771,9.454965305,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,8,100,-13.589670135821354,13.462398529052734,13.40287160873413,14.674201551,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,16,100,16.080367068839912,22.889970779418945,22.8306782245636,23.951991518,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,32,100,11.530255282493856,43.74666118621826,43.680814266204834,44.815658846,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,1,100,-30.278205710199828,19.376266956329346,19.311259508132935,20.450627843,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,2,100,-24.956724336082996,21.28771471977234,21.22542381286621,22.352689883,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,4,100,-25.865082358641075,24.88541555404663,24.824870586395264,26.461303287,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,8,100,-14.651790884594272,33.72972559928894,33.66970086097717,35.485590606,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,16,100,-14.977412938484997,49.327797412872314,49.26034331321716,50.712225517,1,16,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,32,100,0.4844368463136716,84.23136711120605,84.1615743637085,85.357289671,1,16,0
