repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
2,qmoa_complete_ST_evolution_HS,default.qubit,4,1,100,-2.942297578531999,5.1735029220581055,4.915691375732422,7.539257192,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,4,2,100,-5.03280426893177,8.166802883148193,7.919028997421265,9.750479986,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,4,4,100,-4.159114960509425,14.25895619392395,14.01088547706604,16.146780206,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,4,8,100,5.313177033281541,25.467385292053223,25.226007223129272,26.937445142,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,4,16,100,-8.07927703337359,47.72285485267639,47.47309589385986,49.280918589,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,4,32,100,-3.9465384817008733,96.46182322502136,96.21513891220093,98.062138245,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,8,1,100,-7.86060992463997,10.773981094360352,10.52820634841919,12.292749652,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,8,2,100,-11.494476614866405,16.7678382396698,16.524404048919678,18.611137323,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,8,4,100,-18.88142900484707,29.02899956703186,28.781144380569458,30.573325382,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,8,8,100,-4.467283907765997,53.01036262512207,52.75939226150513,54.608538734,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,8,16,100,-19.12452072812776,102.85627818107605,102.61055517196655,104.416254858,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,8,32,100,12.035135775074119,202.70303678512573,202.44024062156677,204.261186829,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,12,1,100,-7.60551465604044,18.64397406578064,18.398319005966187,20.961322352,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,12,2,100,-7.512322310924124,29.070215463638306,28.824432134628296,31.537641746,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,12,4,100,10.059503692641762,50.69603776931763,50.44605016708374,52.244185258,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,12,8,100,8.741271159325803,95.3275682926178,95.07048225402832,97.861111735,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,12,16,100,-12.43058719739249,181.49404764175415,181.23865485191345,184.094164008,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,12,32,100,-8.809253131984494,360.2117371559143,359.94444394111633,361.807850808,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,16,1,100,-18.42497806960199,68.19284963607788,67.93169736862183,69.826198005,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,16,2,100,-28.14601161812468,108.30377388000488,108.05580997467041,109.898007259,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,16,4,100,7.462221843550553,188.10741782188416,187.85794520378113,191.576574910,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,16,8,100,-1.587266250743057,353.0440363883972,352.7767663002014,354.694710729,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,16,16,100,-8.489482812718775,687.6145513057709,687.353964805603,689.253632877,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,16,32,100,-28.598600137849385,1334.1257154941559,1333.830910205841,1335.884469801,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,20,1,100,-41.45860887321923,1319.6848502159119,1319.4247088432312,1322.517511228,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,20,2,100,-21.508356780827214,2189.608772754669,2189.3560779094696,2191.855391997,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,20,4,100,-38.866869231985554,4083.415419101715,4083.147197008133,4085.476234304,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,20,8,100,-51.519400429237,7736.088931322098,7735.84009885788,7737.926151288,1,1,0
2,qmoa_complete_ST_evolution_HS,default.qubit,20,16,100,-2.0780567301306085,15142.01588845253,15141.772242546082,15222.206969895,1,1,0
