repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,1,100,-4.00818196693734,2.3202667236328125,2.1094119548797607,3.457746321,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,2,100,-8.370411480957234,3.066187620162964,2.8466742038726807,4.120633438,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,4,100,1.7574779833735978,4.501197338104248,4.287894248962402,5.614235825,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,8,100,4.055398528799099,7.340378999710083,7.127707242965698,8.438929895,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,16,100,-9.419906526088687,13.47740364074707,13.26893162727356,14.552822111,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,4,32,100,-3.6174380898862255,25.52922010421753,25.31531023979187,26.570189116,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,1,100,-12.651895083999499,5.108008146286011,4.89657735824585,6.111058333,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,2,100,-16.092959524603433,6.51358962059021,6.304653167724609,7.487158957,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,4,100,-9.857393906265496,9.360504388809204,9.145053625106812,10.340204105,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,8,100,-16.592080565767958,15.597171545028687,15.367869853973389,16.689108737,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,16,100,0.8268108585690959,27.86197066307068,27.61705994606018,28.961393251,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,8,32,100,7.829472551383272,54.191181659698486,53.976600885391235,55.295025524,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,1,100,-15.091940962501587,21.45652174949646,21.243480682373047,22.506225963,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,2,100,-14.140227269653511,24.779949188232422,24.545385599136353,25.841462842,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,4,100,-13.276161431234748,26.897332906723022,26.684492826461792,27.915692191,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,8,100,12.201362995066061,37.974027156829834,37.76253628730774,38.997124244,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,16,100,-15.218755994778471,56.87808585166931,56.659597396850586,57.894312062,1,1,0
3,qmoa_complete_ST_evolution_HS,lightning.kokkos,12,32,100,-28.18138176121063,101.3560745716095,101.13420486450195,102.377289038,1,1,0
