repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,1,100,-0.5834045006686608,0.2612466812133789,0.25977325439453125,49.453488214,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,2,100,-0.23487400759653634,0.281832218170166,0.28043246269226074,2.283720244,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,4,100,-0.47919651780980377,0.37146663665771484,0.3700442314147949,2.419684712,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,8,100,-0.29131540928582994,0.5475280284881592,0.5462532043457031,2.675340996,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,16,100,-0.7986025742341533,0.9116020202636719,0.9102981090545654,2.647158801,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,32,100,-0.7305775747908133,1.6343433856964111,1.6329114437103271,2.848124344,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,1,100,-0.583404500668661,0.2474970817565918,0.24625253677368164,1.405054335,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,2,100,-0.2348740075965366,0.3091707229614258,0.30773138999938965,1.551487661,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,4,100,-0.47919651780980455,0.42183709144592285,0.4204981327056885,1.604250135,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,8,100,-0.2913154092858312,0.6410903930664062,0.6396222114562988,1.842031578,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,16,100,-0.7986025742341557,1.1081454753875732,1.1067419052124023,2.332455078,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,32,100,-0.7305775747908184,2.055339813232422,2.0537800788879395,3.290792603,1,64,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,4,1,100,-0.5834045006686615,0.2900362014770508,0.28867340087890625,1.544953744,1,64,0
