repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
2,qaoa_hypercube_maxcut_evolution,wavefront,10,1,100,-0.6520010906022019,2.9013144969940186,2.9004955291748047,4.119599066,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,10,2,100,-0.5686061251524619,2.911982297897339,2.911067008972168,4.132256173,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,10,4,100,-0.9708614504953008,3.1297545433044434,3.128925323486328,4.380954581,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,10,8,100,-0.5022265093028698,3.2497966289520264,3.248913526535034,4.444892859,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,10,16,100,-0.1901687274491333,3.0860953330993652,3.0853443145751953,4.225579570,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,10,32,100,-0.5214214398465409,3.1333210468292236,3.132575511932373,4.306024401,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,11,1,100,-0.6520010906021726,3.116295337677002,3.1155409812927246,4.257409269,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,11,2,100,-0.5686061251524624,3.117947816848755,3.117156505584717,4.179974983,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,11,4,100,-0.9708614504956636,3.3376262187957764,3.336872100830078,4.452369330,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,11,8,100,-0.502226509302871,3.5122714042663574,3.511493682861328,4.647596144,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,11,16,100,-0.19016872744927985,3.310837507247925,3.310084819793701,4.428156988,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,11,32,100,-0.5214214398465374,3.367488145828247,3.3667266368865967,4.495625072,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,12,1,100,-0.6520010906022082,3.3868837356567383,3.386004686355591,4.528018116,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,12,2,100,-0.5686061251524662,3.362842321395874,3.362077236175537,4.488590449,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,12,4,100,-0.9708614504955895,3.6314032077789307,3.6306660175323486,4.752270104,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,12,8,100,-0.5022265093028715,3.8156940937042236,3.8149397373199463,4.984052382,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,12,16,100,-0.19016872744884683,3.5955324172973633,3.5947980880737305,4.720530731,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,12,32,100,-0.5214214398464788,3.6609113216400146,3.6596357822418213,4.772252044,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,13,1,100,-0.652001090602331,3.6185436248779297,3.6177713871002197,4.699926682,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,13,2,100,-0.5686061251524492,3.640951156616211,3.6401219367980957,4.769035889,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,13,4,100,-0.9708614504955695,3.897156000137329,3.896439552307129,5.007188987,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,13,8,100,-0.5022265093028699,4.079155445098877,4.077979326248169,5.252917759,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,13,16,100,-0.19016872744854765,3.8312783241271973,3.8305165767669678,5.075077995,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,13,32,100,-0.5214214398465221,3.9120376110076904,3.911285400390625,5.179733170,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,14,1,100,-0.6520010906022827,3.863576650619507,3.8625800609588623,5.112018449,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,14,2,100,-0.5686061251524708,3.903714656829834,3.9029228687286377,5.132228393,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,14,4,100,-0.9708614504949604,4.1844611167907715,4.183715105056763,5.332675440,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,14,8,100,-0.5022265093028693,4.377465486526489,4.376730918884277,5.513697473,8,1,1
2,qaoa_hypercube_maxcut_evolution,wavefront,14,16,100,-0.19016872744938187,4.10505747795105,4.104308605194092,5.192557335,8,1,1
